instance,variant,obj,optimal,time,sol
14,gecode_search,597,False,300,"[[101, 100, 62, 112, 66, 213, 83, 123, 177, 137, 104, 133, 98, 87, 164, 153], [25, 168, 1, 162, 194, 32, 41, 115, 149, 184, 30], [72, 158, 209, 56, 36, 47, 24, 34, 51, 170], [141, 37, 52, 91, 121, 74, 5], [183, 197, 50, 61, 96, 44, 9, 40, 70, 205, 6, 202], [134, 102, 73, 113, 187, 136, 13, 58, 185, 117, 64], [152, 124, 171, 12, 94, 38, 191, 8, 17, 160, 195, 128, 76, 175], [119, 77, 120, 81, 145, 27, 193, 82, 139, 178], [214, 3, 95, 45, 129, 55, 43, 105, 151], [103, 78, 196, 22, 97, 155, 107, 208, 204], [125, 142, 86, 4, 18, 200, 75, 84, 57, 93, 173, 138, 166], [14, 20, 10, 159, 131, 156, 48, 114, 212], [135, 150, 59, 79, 146, 127, 165, 207, 189, 181, 118], [190, 198, 28, 7, 21, 46, 215, 35], [39, 65, 179, 33, 16, 109, 132, 144, 26, 106, 63, 80], [140, 169, 68, 172, 111, 53, 201, 116, 108, 122, 71, 99, 176, 90], [92, 182, 69, 31, 174, 110, 130, 147, 15, 180], [148, 2, 42, 49, 210, 54, 126, 161], [143, 186, 157, 199, 163, 11, 211, 154, 19, 203, 188, 89, 67], [167, 23, 60, 88, 29, 192, 85, 206]]"
15,gecode,1113,False,300,"[[160, 80, 132, 108, 152, 180, 60, 200, 40, 220, 20], [161, 79, 122, 133, 107, 181, 59, 201, 39, 221, 19], [162, 78, 135, 85, 182, 58, 143, 87, 138, 127, 90, 111, 202, 38, 222, 18], [163, 77, 118, 98, 137, 183, 57, 203, 37, 223, 17], [164, 76, 119, 92, 144, 184, 56, 204, 36, 224, 16], [165, 75, 128, 185, 55, 205, 35, 225, 15], [186, 54, 131, 206, 34, 146, 120, 93, 226, 14, 166, 74, 94], [142, 114, 167, 73, 110, 139, 187, 53, 207, 33, 227, 13], [140, 130, 168, 72, 125, 188, 52, 208, 32, 228, 12], [100, 169, 71, 89, 189, 51, 91, 209, 31, 88, 229, 11, 101], [151, 123, 124, 105, 170, 70, 102, 190, 50, 210, 30, 230, 10], [171, 69, 141, 147, 116, 191, 49, 211, 29, 231, 9], [172, 68, 134, 192, 48, 145, 121, 212, 28, 149, 115, 99, 232, 8], [153, 112, 173, 67, 113, 193, 47, 213, 27, 233, 7], [126, 104, 150, 95, 234, 6, 194, 46, 214, 26, 174, 66, 106], [175, 65, 117, 129, 109, 103, 195, 45, 215, 25, 235, 5], [154, 97, 216, 24, 236, 4, 155, 84, 176, 64, 196, 44], [156, 83, 177, 63, 136, 197, 43, 217, 23, 237, 3], [157, 96, 178, 62, 198, 42, 218, 22, 238, 2], [148, 86, 158, 82, 159, 81, 179, 61, 199, 41, 219, 21, 239, 1]]"
15,chuffed,-1,False,300,[]
15,gecode_search,598,False,300,"[[236, 103, 186, 140, 123, 198, 218, 146, 136, 143, 127, 196, 133, 115], [82, 131, 79, 231, 209, 71, 163, 221, 34, 13, 53, 3], [126, 191, 107, 106, 14, 215, 154, 65, 1, 193, 11], [36, 51, 160, 75, 200, 70, 178, 155, 23, 40, 2, 201, 69], [135, 24, 206, 207, 12, 44, 116, 21, 176, 90, 39, 129], [102, 29, 86, 62, 64, 134, 68, 169, 61, 118, 5], [84, 180, 19, 80, 162, 213, 66, 10, 171, 7, 50, 4, 58], [121, 202, 35, 187, 78, 93, 152, 111, 138, 72, 17, 67, 54, 148], [120, 192, 46, 220, 228, 119, 229, 164, 15, 210], [217, 177, 37, 234, 59, 238, 141, 237, 173, 170, 81, 203, 91, 165, 161, 100], [101, 105, 97, 49, 83, 156, 108, 149, 172, 99, 151, 124], [184, 57, 104, 87, 139, 42, 25, 145, 109, 179, 85], [95, 110, 130, 204, 159, 22, 117, 212, 150, 56], [182, 227, 88, 113, 137, 175, 158, 189, 60, 214, 125, 153, 77, 224, 174, 183], [31, 167, 38, 219, 48, 230, 211], [18, 142, 28, 20, 194, 114, 76, 33, 226, 181, 188], [216, 122, 27, 47, 52, 98, 225, 8, 41, 45, 6, 195, 197], [74, 190, 185, 199, 132, 55, 63, 147, 232, 26, 239, 128, 144], [208, 30, 205, 32, 222, 89, 9, 166, 168, 96], [233, 112, 43, 92, 157, 16, 223, 94, 235, 73]]"
16,gecode,308,False,300,"[[26, 19, 22], [21, 30, 18], [27, 15], [34, 17], [28, 13, 33, 20, 16], [23], [32], [31], [36, 12], [37, 11], [38, 10], [39, 9], [40, 8], [41, 7], [42, 6], [43, 5, 29, 14], [44, 4], [25, 24, 45, 3], [35, 46, 2], [47, 1]]"
16,chuffed,-1,False,300,[]
16,gecode_search,286,True,1,"[[22, 44, 46], [3, 25], [4, 1, 47], [32, 2, 35, 27], [6, 28], [7, 29], [18, 8, 30], [24, 31], [23, 10], [33], [12, 38, 40, 16], [13], [5, 14, 36], [26, 15, 37], [39, 11], [45, 17], [9], [34, 41, 42], [20, 19], [21, 43]]"
17,gecode,1510,False,300,"[[208, 80, 148, 163, 136, 188, 100, 134, 228, 60, 248, 40, 268, 20], [169, 124, 189, 99, 112, 229, 59, 249, 39, 111, 269, 19, 209, 79, 110], [190, 98, 144, 210, 78, 146, 230, 58, 250, 38, 147, 109, 143, 270, 18], [149, 117, 140, 114, 191, 97, 211, 77, 231, 57, 251, 37, 271, 17], [192, 96, 138, 212, 76, 150, 126, 232, 56, 252, 36, 272, 16], [193, 95, 137, 213, 75, 139, 165, 157, 170, 123, 233, 55, 253, 35, 273, 15], [194, 94, 214, 74, 234, 54, 254, 34, 274, 14], [195, 93, 166, 215, 73, 168, 177, 172, 121, 235, 53, 255, 33, 275, 13], [179, 153, 129, 196, 92, 120, 216, 72, 236, 52, 256, 32, 276, 12], [171, 115, 197, 91, 116, 217, 71, 237, 51, 257, 31, 277, 11], [178, 198, 90, 155, 135, 218, 70, 173, 238, 50, 258, 30, 278, 10], [199, 89, 142, 167, 128, 219, 69, 239, 49, 259, 29, 279, 9], [200, 88, 141, 180, 152, 164, 154, 127, 220, 68, 240, 48, 260, 28, 280, 8], [261, 27, 174, 122, 176, 113, 181, 108, 201, 87, 221, 67, 241, 47, 281, 7], [222, 66, 202, 86, 182, 107, 158, 151, 242, 46, 262, 26, 282, 6], [203, 85, 159, 223, 65, 183, 105, 156, 243, 45, 263, 25, 283, 5], [204, 84, 125, 119, 184, 104, 130, 160, 118, 224, 64, 244, 44, 264, 24, 284, 4], [175, 106, 185, 103, 205, 83, 225, 63, 245, 43, 265, 23, 285, 3], [206, 82, 161, 145, 186, 102, 132, 226, 62, 246, 42, 266, 22, 286, 2], [207, 81, 162, 133, 187, 101, 131, 227, 61, 247, 41, 267, 21, 287, 1]]"
17,chuffed,-1,False,300,[]
17,gecode_search,-1,False,300,[]
